article_id,new_general_yi,new_special_yi,refinance_yi
63820,0.0,0.0,0.0
63819,0.0,0.0,216.0
63764,0.0,0.0,0.0
63751,0.0,0.0,0.0
63747,173.0,1.0,0.0
63746,0.0,0.0,0.0
63745,0.0,0.0,0.0
62028,0.0,58.0,63.81
62191,0.0,0.0,168.81
62018,0.0,171.0,94.94
62014,30.0,0.0,0.9
63781,0.0,611.27,89.67
61980,68.71,266.34,203.65
61970,71.24,142.64,102.19
61952,27.0,30.0,0.0
61936,115.0,610.0,0.0
61903,48.0,2.0,27.39
61867,0.0,0.0,0.0
61864,29.0,2.0,0.0
61852,6.0,94.96,0.0
61851,50.0,50.0,0.0
61830,75.0,439.1,60.7
61821,90.0,245.0,0.0
61808,0.0,0.0,0.0
61805,,,391.9582
61804,0.0,0.0,203.65
61801,168.7,31.54,134.55
61624,0.0,29.9,87.2
61609,0.0,0.0,0.0
61689,0.0,0.0,579.0
61553,0.0,0.0,198.78
61552,116.7,0.0,82.17
61551,0.0,0.0,210.66
61493,20.0,50.0,86.63
61477,29.0,2.0,0.0
61466,0.0,0.0,107.44
61460,0.0,200.0,155.0
61773,0.0,0.0,138.41
61771,,,
62572,92.26,132.42,11.39
63780,0.0,296.94,0.0
61754,0.0,100.0,85.94
61742,0.0,0.0,0.0
61733,50.0,32.0,0.9
61729,23.0,0.0,25.58
61728,0.0,0.0,304.48
61626,0.0,31.0,53.16
61800,84.0,500.0,0.0
61799,,,
61798,150.0,450.0,117.0
62227,7.04,282.27,117.37
62681,0.0,154.26,125.5
62512,0.0,429.68,61.56
61831,0.0,0.0,0.0
61787,60.0,100.0,58.0
61786,0.0,250.0,448.0
61775,43.06,342.27,83.46
61436,0.0,9.84,0.0
61417,0.0,126.0,0.0
61415,0.0,69.87,213.78
65121,4.0,100.0,100.0
61428,7.82,80.0,143.29
61403,0.0,0.0,276.44
62680,0.0,244.82,0.0
63779,0.0,0.0,233.78
61402,43.0,127.0,50.48
61396,0.0,0.0,0.0
61338,0.0,0.0,0.0
61327,54.0,0.0,169.26
61323,0.0,0.0,0.0
61315,0.0,5.76,248.03
61299,0.0,0.0,0.0
61278,0.0,42.2,0.0
61277,0.0,52.02,35.71
61263,0.0,0.0,0.0
61256,50.0,3.5,24.21
61251,0.0,0.0,0.0
61247,0.0,145.0,129.79
61239,0.0,460.81,0.0
61235,0.0,0.0,244.64
61219,23.9,0.0,116.53
64960,0.0,0.0,0.0
61192,70.945,313.96,248.3407
61176,13.38,101.01,0.0
61168,29.0,14.0,0.0
61164,15.0,45.0,0.0
61109,0.0,0.0,290.58
61102,0.0,0.0,133.26
61099,0.0,94.9,518.77
61071,0.0,300.0,180.0
61070,0.0,300.0,150.0
61069,0.0,100.0,45.0
61068,0.0,540.0,174.0
61067,0.0,0.0,0.0
61058,0.0,0.0,248.03
61049,46.0,0.0,11.64
61034,0.0,0.0,0.0
61459,180.0,240.0,102.0
61458,0.0,0.0,0.0
61453,,,21.979
61452,0.0,0.0,240.7
61451,0.0,250.0,125.0
61446,0.0,160.0,8.13
61445,0.0,100.0,0.0
61444,6.0,100.0,0.0
61447,0.0,400.0,238.0
61456,59.26,200.0,35.35
61033,0.0,129.86,0.0
61030,0.0,0.0,0.0
61019,0.0,470.1,0.0
61014,0.0,0.0,0.0
61013,0.0,611.39,304.05
61012,0.0,0.0,0.0
61011,0.0,457.35,0.0
61010,0.0,0.0,0.0
61007,0.0,176.7,21.71
61005,0.0,400.0,0.0
61001,0.0,0.0,0.0
60991,26.26,0.0,154.49
